Institution Name,State
Rabbinical College of America,NJ
Rabbinical College of Long Island,NY
Rabbinical College of Ohr Shimon Yisroel,NY
Rabbinical College Telshe,OH
Rabbinical Seminary Mkor Chaim,NJ
Rabbinical Seminary of America,NY
Radford University,VA
Radford University-Carilion,VA
Ramapo College of New Jersey,NJ
Randolph College,VA
Randolph-Macon College,VA
Ranken Technical College,MO
Rasmussen University-Florida,FL
Rasmussen University-Illinois,IL
Rasmussen University-Kansas,KS
Rasmussen University-Minnesota,MN
Rasmussen University-North Dakota,ND
Rasmussen University-Wisconsin,WI
Reach University,CA
Red Rocks Community College,CO
Regent University,VA
Regis College,MA
Regis University,CO
Reinhardt University,GA
Remington College-Dallas Campus,TX
Remington College-Memphis Campus,TN
Remington College-Mobile Campus,AL
Remington College-North Houston Campus,TX
Remington College-Shreveport Campus,LA
Renton Technical College,WA
Rhode Island College,RI
Rhode Island School of Design,RI
Rhodes College,TN
Rice University,TX
Rider University,NJ
Ringling College of Art and Design,FL
Rio Hondo College,CA
Ripon College,WI
Riverside College of Health Careers,VA
Rivier University,NH
Roanoke College,VA
Robert Morris University,PA
Roberts Wesleyan University,NY
Rochester Christian University,MI
Rochester Institute of Technology,NY
Rockford University,IL
Rockhurst University,MO
Rocky Mountain College,MT
Rocky Mountain College of Art and Design,CO
Roger Williams University,RI
Rollins College,FL
Roosevelt University,IL
Rosemont College,PA
Rowan University,NJ
Russell Sage College,NY
Rust College,MS
Rutgers University-Newark,NJ
Sacred Heart Major Seminary,MI
Sacred Heart University,CT
SAE Expression College,CA
SAE Institute of Technology-Nashville,TN
Saginaw Valley State University,MI
Saint Ambrose University,IA
Saint Anselm College,NH
Saint Anthony College of Nursing,IL
Saint Charles Borromeo Seminary-Overbrook,PA
Saint Cloud State University,MN
Saint Edward's University,TX
Saint Elizabeth University,NJ
Saint Francis University,PA
Saint Johns River State College,FL
Saint Johns University,MN
Saint Joseph Seminary College,LA
Saint Joseph's College of Maine,ME
Saint Joseph's University,PA
Saint Leo University,FL
Saint Louis University,MO
Saint Martin's University,WA
Saint Mary-of-the-Woods College,IN
Saint Mary's College,IN
Saint Mary's College of California,CA
Saint Mary's University of Minnesota,MN
Saint Michael's College,VT
Saint Peter's University,NJ
Saint Vincent College,PA
Saint Xavier University,IL
Salem College,NC
Salem State University,MA
Salem University,WV
Salisbury University,MD
Salish Kootenai College,MT
Salve Regina University,RI
Sam Houston State University,TX
San Diego Global Knowledge University,CA
San Diego Mesa College,CA
San Diego State University,CA
San Francisco Bay University,CA
San Francisco Conservatory of Music,CA
San Francisco State University,CA
San Ignacio University,FL
San Joaquin Valley College-Visalia,CA
San Jose State University,CA
Santa Ana College,CA
Santa Fe College,FL
Santa Monica College,CA
Sarah Lawrence College,NY
Savannah College of Art and Design,GA
Schiller International University,FL
School of the Art Institute of Chicago,IL
School of Visual Arts,NY
Schoolcraft Community College District,MI
Scripps College,CA
Seattle Central College,WA
Seattle Film Institute,WA
Seattle Pacific University,WA
Seattle University,WA
Selma University,AL
Seminole State College of Florida,FL
Seton Hill University,PA
Sh'or Yoshuv Rabbinical College,NY
Shasta Bible College and Graduate School,CA
Shasta College,CA
Shaw University,NC
Shawnee State University,OH
Shenandoah University,VA
Shepherd University,WV
Shippensburg University of Pennsylvania,PA
Shorter College,AK
Shorter University,GA
Siena College,NY
Siena Heights University,MI
Simmons College of Kentucky,KY
Simmons University,MA
Simpson College,IA
Simpson University,CA
Sinclair Community College,OH
Sinte Gleska University,SD
Sisseton Wahpeton College,SD
Sitting Bull College,ND
Skagit Valley College,WA
Skidmore College,NY
Skyline College,CA
"Skyline College

",--
Slippery Rock University of Pennsylvania,PA
Smith Chason College,CA
Smith College,MA
Snow College,UT
Soka University of America,CA
Solano Community College,CA
Sonoma State University,CA
South Carolina State University,SC
South College,TN
South Dakota School of Mines and Technology,SD
South Dakota State University,SD
South Florida Bible College and Theological Seminary,FL
South Florida State College,FL
South Seattle College,WA
South Texas College,TX
South University-Austin,TX
South University-Columbia,SC
South University-High Point,NC
South University-Montgomery,AL
South University-Richmond,VA
South University-Savannah,GA
South University-Tampa,FL
South University-Virginia Beach,VA
South University-West Palm Beach,FL
Southeast Missouri State University,MO
Southeastern Baptist College,MS
Southeastern Baptist Theological Seminary,NC
Southeastern College-West Palm Beach,FL
Southeastern Louisiana University,LA
Southeastern Oklahoma State University,OK
Southeastern University,FL
Southern Adventist University,TN
Southern California Institute of Architecture,CA
Southern California Institute of Technology,CA
Southern California Seminary,CA
Southern Connecticut State University,CT
Southern Illinois University-Carbondale,IL
Southern Illinois University-Edwardsville,IL
Southern Methodist University,TX
Southern Nazarene University,OK
Southern New Hampshire University,NH
Southern Oregon University,OR
Southern States University,CA
Southern Technical College,FL
Southern University and A & M College,LA
Southern University at New Orleans,LA
Southern Utah University,UT
Southern Virginia University,VA
Southern Wesleyan University,SC
Southwest Baptist University,MO
Southwest Minnesota State University,MN
Southwest University at El Paso,TX
Southwest University of Visual Arts-Albuquerque,NM
Southwestern Adventist University,TX
Southwestern Assemblies of God University,TX
Southwestern Christian College,TX
Southwestern Christian University,OK
Southwestern College,KS
Southwestern Oklahoma State University,OK
Southwestern University,TX
Spalding University,KY
Spartan College of Aeronautics and Technology,OK
Spartanburg Methodist College,SC
Spring Arbor University,MI
Spring Hill College,AL
Springfield College,MA
St Bonaventure University,NY
St Catherine University,MN
St Lawrence University,NY
St Olaf College,MN
St Petersburg College,FL
St. Andrews University,NC
St. Francis College,NY
St. John Fisher University,NY
St. John Vianney College Seminary,FL
St. John's College,MD
St. John's College,NM
St. John's University-New York,NY
St. Joseph's University-Long Island,NY
St. Joseph's University-New York,NY
St. Mary's College of Maryland,MD
St. Mary's University,TX
St. Thomas Aquinas College,NY
St. Thomas University,FL
Stanbridge University,CA
State College of Florida-Manatee-Sarasota,FL
State University of New York at New Paltz,NY
State University of New York at Oswego,NY
Stephen F Austin State University,TX
Sterling College,VT
Stetson University,FL
Stevens-The Institute of Business & Arts,MO
Stevenson University,MD
Stillman College,AL
Stockton University,NJ
Stone Child College,MT
Stony Brook University,NY
Strayer University-Alabama,AL
Strayer University-Arkansas,AR
Strayer University-Delaware,DE
Strayer University-District of Columbia,DC
Strayer University-Florida,FL
Strayer University-Georgia,GA
Strayer University-Maryland,MD
Strayer University-Mississippi,MS
Strayer University-New Jersey,NJ
Strayer University-North Carolina,NC
Strayer University-Pennsylvania,PA
Strayer University-South Carolina,SC
Strayer University-Tennessee,TN
Strayer University-Texas,TX
Strayer University-Virginia,VA
Strayer University-West Virginia,WV
Suffolk University,MA
Sul Ross State University,TX
Sullivan University,KY
SUM Bible College and Theological Seminary,CA
Sumner College,OR
SUNY at Fredonia,NY
SUNY at Purchase College,NY
SUNY Brockport,NY
SUNY Buffalo State University,NY
SUNY College at Geneseo,NY
SUNY College at Old Westbury,NY
SUNY College at Plattsburgh,NY
SUNY College at Potsdam,NY
SUNY College of Environmental Science and Forestry,NY
SUNY College of Technology at Alfred,NY
SUNY College of Technology at Delhi,NY
SUNY Cortland,NY
SUNY Morrisville,NY
SUNY Oneonta,NY
SUNY Polytechnic Institute,NY
Susquehanna University,PA
Sweet Briar College,VA
Tabor College,KS
Talladega College,AL
Tallahassee Community College,FL
Talmudic College of Florida,FL
Talmudical Academy-New Jersey,NJ
Talmudical Seminary of Bobov,NY
Talmudical Seminary Oholei Torah,NY
Talmudical Yeshiva of Philadelphia,PA
Tarleton State University,TX
Taylor University,IN
Temple University,PA
Tennessee Technological University,TN
Tennessee Wesleyan University,TN
Texas A & M International University,TX
Texas A & M University-College Station,TX
Texas A & M University-Commerce,TX
Texas A & M University-Corpus Christi,TX
Texas A & M University-Kingsville,TX
Texas A&M University-San Antonio,TX
Texas A&M University-Texarkana,TX
Texas College,TX
Texas Lutheran University,TX
Texas State University,TX
Texas Wesleyan University,TX
Texas Woman's University,TX
The Catholic University of America,DC
The Christ College of Nursing and Health Sciences,OH
The College of Idaho,ID
The College of Saint Scholastica,MN
The College of the Florida Keys,FL
The College of Westchester,NY
The College of Wooster,OH
The Creative Center,NE
The Evergreen State College,WA
The Juilliard School,NY
The King's University,TX
The Master's University and Seminary,CA
The Modern College of Design,OH
The New England Conservatory of Music,MA
The New School,NY
The Southwestern Baptist Theological Seminary,TX
The University of Findlay,OH
The University of Montana,MT
The University of Montana-Western,MT
The University of Tampa,FL
The University of Texas at Arlington,TX
The University of Texas at Dallas,TX
The University of Texas at El Paso,TX
The University of Texas at San Antonio,TX
The University of Texas at Tyler,TX
The University of Texas Permian Basin,TX
The University of the South,TN
Thiel College,PA
Thomas College,ME
Thomas Jefferson University,PA
Thomas More College of Liberal Arts,NH
Thomas More University,KY
Thomas University,GA
Tiffin University,OH
Toccoa Falls College,GA
Torah Temimah Talmudical Seminary,NY
Touro University,NY
Touro University Worldwide,CA
Towson University,MD
Transylvania University,KY
Trevecca Nazarene University,TN
Tri-State Bible College,OH
Trident University International,--
Trine University,IN
Trine University-Regional/Non-Traditional Campuses,IN
Trinidad State College,CO
Trinity Baptist College,FL
Trinity Christian College,IL
Trinity College,CT
Trinity International University-Illinois,IL
Trinity Washington University,DC
Trocaire College,NY
Troy University,AL
Truckee Meadows Community College,NV
Turtle Mountain Community College,ND
Tusculum University,TN
Tuskegee University,AL
Tyler Junior College,TX
Union Bible College,IN
Union College,KY
Union College,NY
Union College,NE
United International College,FL
United States Coast Guard Academy,CT
United States Sports Academy,--
United Talmudical Seminary,NY
United Tribes Technical College,ND
Unitek College,CA
Unity College,ME
Universal Technology College of Puerto Rico,PR
Universidad Adventista de las Antillas,PR
Universidad Ana G. Mendez-Cupey Campus,PR
Universidad Ana G. Mendez-Gurabo Campus,PR
Universidad Ana G. Mendez–Carolina campus,PR
Universidad Central de Bayamon,PR
Universidad del Sagrado Corazon,PR
University at Buffalo,NY
University of Advancing Technology,AZ
University of Akron Main Campus,OH
University of Alaska Anchorage,AK
University of Alaska Southeast,AK
University of Arizona,AZ
University of Arkansas at Little Rock,AR
University of Arkansas at Monticello,AR
University of Arkansas for Medical Sciences,AR
University of Arkansas-Fort Smith,AR
University of Baltimore,MD
University of Bridgeport,CT
University of California-Berkeley,CA
University of California-Davis,CA
University of California-Irvine,CA
University of California-Los Angeles,CA
University of California-Merced,CA
University of California-Riverside,CA
University of California-San Diego,CA
University of California-Santa Barbara,CA
University of California-Santa Cruz,CA
University of Central Missouri,MO
University of Central Oklahoma,OK
University of Charleston,WV
University of Chicago,IL
University of Cincinnati-Blue Ash College,OH
University of Cincinnati-Clermont College,OH
University of Colorado Boulder,CO
University of Colorado Colorado Springs,CO
University of Colorado Denver/Anschutz Medical Campus,CO
University of Dayton,OH
University of Denver,CO
University of Detroit Mercy,MI
University of Dubuque,IA
University of Evansville,IN
University of Fort Lauderdale,FL
University of Guam,GU
University of Hartford,CT
University of Hawaii at Hilo,HI
University of Hawaii at Manoa,HI
University of Hawaii Maui College,HI
University of Hawaii-West Oahu,HI
University of Holy Cross,LA
University of Houston,TX
University of Illinois Chicago,IL
University of Illinois Springfield,IL
University of Illinois Urbana-Champaign,IL
University of Indianapolis,IN
University of Iowa,IA
University of Jamestown,ND
University of Kansas,KS
University of La Verne,CA
University of Louisiana at Lafayette,LA
University of Louisiana at Monroe,LA
University of Louisville,KY
University of Lynchburg,VA
University of Maine,ME
University of Maine at Augusta,ME
University of Maine at Farmington,ME
University of Maine at Fort Kent,ME
University of Maine at Machias,ME
University of Maine at Presque Isle,ME
University of Management and Technology,VA
University of Mary,ND
University of Mary Hardin-Baylor,TX
University of Mary Washington,VA
University of Maryland Eastern Shore,MD
University of Maryland Global Campus,MD
University of Massachusetts Global,CA
University of Massachusetts-Amherst,MA
University of Massachusetts-Boston,MA
University of Massachusetts-Dartmouth,MA
University of Massachusetts-Lowell,MA
University of Michigan-Ann Arbor,MI
University of Michigan-Flint,MI
"University of Minnesota-Crookston
",MN
University of Minnesota-Duluth,MN
University of Missouri-Kansas City,MO
University of Mobile,AL
University of Montevallo,AL
University of Mount Olive,NC
University of Mount Union,OH
University of Nebraska at Kearney,NE
University of Nebraska at Omaha,NE
University of Nebraska-Lincoln,NE
University of Nevada-Las Vegas,NV
University of Nevada-Reno,NV
University of New England,ME
University of New Hampshire at Manchester,NH
University of New Hampshire-Main Campus,NH
University of New Haven,CT
University of New Mexico-Main Campus,NM
University of New Orleans,LA
University of North Alabama,AL
University of North Dakota,ND
University of North Texas,TX
University of North Texas at Dallas,TX
University of Northern Colorado,CO
University of Northern Iowa,IA
University of Northwestern Ohio,OH
University of Northwestern-St Paul,MN
University of Oregon,OR
University of Phoenix-Arizona,AZ
University of Phoenix-California,CA
University of Phoenix-Hawaii,HI
University of Phoenix-Nevada,NV
University of Phoenix-Texas,TX
University of Pikeville,KY
University of Providence,MT
University of Puerto Rico-Aguadilla,PR
University of Puerto Rico-Arecibo,PR
University of Puerto Rico-Bayamon,PR
University of Puerto Rico-Carolina,PR
University of Puerto Rico-Cayey,PR
University of Puerto Rico-Humacao,PR
University of Puerto Rico-Mayaguez,PR
University of Puerto Rico-Ponce,PR
University of Puerto Rico-Rio Piedras,PR
University of Puerto Rico-Utuado,PR
University of Puget Sound,WA
University of Redlands,CA
University of Rio Grande,OH
University of Rochester,NY
University of Saint Francis-Fort Wayne,IN
University of Saint Joseph,CT
University of Saint Mary,KS
University of San Francisco,CA
University of Science and Arts of Oklahoma,OK
University of Scranton,PA
University of Silicon Valley,CA
University of Sioux Falls,SD
University of South Carolina Beaufort,SC
University of South Carolina-Upstate,SC
University of South Dakota,SD
University of Southern Indiana,IN
University of Southern Maine,ME
University of Southern Mississippi,MS
University of St Francis,IL
University of St Thomas,MN
University of St Thomas,TX
University of the Cumberlands,KY
University of the District of Columbia,DC
University of the Incarnate Word,TX
University of the Ozarks,AR
University of the Pacific,CA
University of the People,--
University of the Potomac-VA Campus,VA
University of the Potomac-Washington DC Campus,DC
University of the Southwest,NM
University of the Virgin Islands-Albert A. Sheen,VI
"University of the Virgin Islands, St. Thomas",VI
University of the West,CA
University of Toledo,OH
University of Tulsa,OK
University of Utah,UT
University of Valley Forge,PA
University of Virginia's College at Wise,VA
University of Washington-Bothell Campus,WA
University of Washington-Seattle Campus,WA
University of Washington-Tacoma Campus,WA
Upper Iowa University,IA
Ursinus College,PA
Ursuline College,OH
Uta Mesivta of Kiryas Joel,NY
Utah State University,UT
Utah Tech University,UT
Utah Valley University,UT
Utica University,NY
Valencia College,FL
Valley City State University,ND
Valley College-Martinsburg,WV
Valor Christian College,OH
VanderCook College of Music,IL
Vanguard University of Southern California,CA
Vassar College,NY
Vaughn College of Aeronautics and Technology,NY
Veritas Baptist College,--
Vermont Technical College,VT
Villa Maria College,NY
Vincennes University,IN
Virginia Commonwealth University,VA
Virginia State University,VA
Virginia University of Lynchburg,VA
Virginia Wesleyan University,VA
Viterbo University,WI
Voorhees University,SC
Wabash College,IN
Wade College,TX
Wagner College,NY
Wake Forest University,NC
Walden University,--
Waldorf University,IA
Walla Walla Community College,WA
Walla Walla University,WA
Walnut Hill College,PA
Walsh University,OH
Warner Pacific University,OR
Warner University,FL
Warren Wilson College,NC
Wartburg College,IA
Washburn University,KS
Washington & Jefferson College,PA
Washington Adventist University,MD
Washington College,MD
Washington State University,WA
Washington State University Everett,WA
Washington State University Spokane,WA
Washington State University Tri-Cities,WA
Washington State University Vancouver,WA
Washington University in St Louis,MO
Washington University of Science and Technology,--
Wayland Baptist University,TX
Wayne State College,NE
Waynesburg University,PA
Weatherford College,TX
Webb Institute,NY
Webber International University,FL
Weber State University,UT
Webster University,MO
Welch College,TN
Wentworth Institute of Technology,MA
Wesleyan College,GA
Wesleyan University,CT
West Coast University-Dallas,TX
West Coast University-Los Angeles,CA
West Coast University-Miami,FL
West Coast University-Ontario,CA
West Coast University-Orange County,CA
West Liberty University,WV
West Los Angeles College,CA
West Texas A & M University,TX
West Virginia State University,WV
West Virginia University,WV
West Virginia University at Parkersburg,WV
West Virginia University Institute of Technology,WV
West Virginia Wesleyan College,WV
Westcliff University,CA
Western Colorado University,CO
Western Connecticut State University,CT
Western Governors University,UT
Western Illinois University,IL
Western Kentucky University,KY
Western Michigan University,MI
Western Nevada College,NV
Western New England University,MA
Western New Mexico University,NM
Western Oregon University,OR
Western Washington University,WA
Western Wyoming Community College,WY
Westfield State University,MA
Westminster College,UT
Westminster College,MO
Westminster College,PA
Westmont College,CA
Wheaton College,IL
Wheaton College (Massachusetts),MA
Wheeling University,WV
Whitman College,WA
Whittier College,CA
Whitworth University,WA
Wichita State University,KS
Widener University,PA
Wilberforce University,OH
Wiley College,TX
Wilkes University,PA
Willamette University,OR
William & Mary,VA
William Jessup University,CA
William Jewell College,MO
William Paterson University of New Jersey,NJ
William Peace University,NC
William Woods University,MO
Wilmington College,OH
Wilmington University,DE
Wilson College,PA
Wingate University,NC
Winona State University,MN
Winthrop University,SC
Wisconsin Lutheran College,WI
Wittenberg University,OH
Wofford College,SC
Woodbury University,CA
Worcester State University,MA
World Mission University,CA
Wright State University-Lake Campus,OH
Wright State University-Main Campus,OH
Xavier University,OH
Xavier University of Louisiana,LA
Yakima Valley College,WA
Yellowstone Christian College,MT
Yeshiva Bais Aharon,NJ
Yeshiva D'monsey Rabbinical College,NY
Yeshiva Derech Chaim,NY
Yeshiva Gedolah Imrei Yosef D'spinka,NY
Yeshiva Karlin Stolin,NY
Yeshiva of Nitra Rabbinical College,NY
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,CA
Yeshiva Shaarei Torah of Rockland,NY
Yeshiva Toras Chaim,NJ
Yeshiva University,NY
Yeshivah Gedolah Rabbinical College,FL
Yeshivath Beth Moshe,PA
Yeshivath Shaar Hatorah,NY
Yeshivath Zichron Moshe,NY
York College of Pennsylvania,PA
York University,NE
Young Harris College,GA
Youngstown State University,OH
Zane State College,OH
Zaytuna College,CA
Abraham Baldwin Agricultural College,GA
Albany State University,GA
Appalachian State University,NC
Atlanta Metropolitan State College,GA
Augusta University,GA
Barnard College,NY
Baylor University,TX
Bentley University,MA
Boston College,MA
Boston University,MA
Bowling Green State University-Main Campus,OH
Brigham Young University-Idaho,ID
Bucknell University,PA
Campbell University,NC
Carleton College,MN
Carnegie Mellon University,PA
Cedar Crest College,PA
Claremont McKenna College,CA
Clayton  State University,GA
College of Charleston,SC
College of Coastal Georgia,GA
Colorado Christian University,CO
Columbus State University,GA
Cornell University,NY
Dalton State College,GA
Duke University,NC
East Carolina University,NC
East Georgia State College,GA
Eastern Michigan University,MI
Elizabeth City State University,NC
Emory University,GA
Fayetteville State University,NC
Fordham University,NY
Fort Valley State University,GA
Franciscan University of Steubenville,OH
Georgia Gwinnett College,GA
Georgia Highlands College,GA
Georgia Southern University,GA
Georgia Southwestern State University,GA
Georgia State University,GA
Gordon State College,GA
Hampden-Sydney College,VA
Harvey Mudd College,CA
Howard University,DC
Indiana University of Pennsylvania-Main Campus,PA
John Carroll University,OH
Kennesaw State University,GA
Kenyon College,OH
"Kutztown University of Pennsylvania
",PA
La Salle University,PA
Lawrence Technological University,MI
Life University,GA
Lipscomb University,TN
Loyola Marymount University,CA
Massachusetts College of Liberal Arts,MA
Massachusetts Maritime Academy,MA
Mercer University,GA
Miami University-Oxford,OH
Middle Georgia State University,GA
Misericordia University,PA
Missouri University of Science and Technology,MO
Molloy College,NY
Monmouth University,NJ
New Jersey Institute of Technology,NJ
New York University,NY
North Carolina A & T State University,NC
North Carolina Central University,NC
North Carolina State University at Raleigh,NC
North Carolina Wesleyan University,NC
Northwestern University,IL
Nova Southeastern University,FL
Oakland University,MI
Ohio State University-Main Campus,OH
Oral Roberts University,OK
Pennsylvania State University-Main Campus,PA
Pennsylvania State University-Penn State Abington,PA
Pennsylvania State University-Penn State Altoona,PA
Pennsylvania State University-Penn State Beaver,PA
Pennsylvania State University-Penn State Berks,PA
Pennsylvania State University-Penn State Brandywine,PA
Pennsylvania State University-Penn State DuBois,PA
Pennsylvania State University-Penn State Erie-Behrend College,PA
Pennsylvania State University-Penn State Fayette- Eberly,PA
Pennsylvania State University-Penn State Greater Allegheny,PA
Pennsylvania State University-Penn State Harrisburg,PA
Pennsylvania State University-Penn State Hazleton,PA
Pennsylvania State University-Penn State Lehigh Valley,PA
Pennsylvania State University-Penn State Mont Alto,PA
Pennsylvania State University-Penn State New Kensington,PA
Pennsylvania State University-Penn State Schuylkill,PA
Pennsylvania State University-Penn State Scranton,PA
Pennsylvania State University-Penn State Shenango,PA
Pennsylvania State University-Penn State Wilkes-Barre,PA
Pennsylvania State University-Penn State York,PA
Pennsylvania State University-World Campus,--
Pitzer College,CA
Princeton University,NJ
Reed College,OR
Rensselaer Polytechnic Institute,NY
Rogers State University,OK
Rose-Hulman Institute of Technology,IN
Rutgers University-Camden,NJ
Rutgers University-New Brunswick,NJ
Saint Norbert College,WI
Santa Clara University,CA
Savannah State University,GA
Savannah State University,GA
South Georgia State College,GA
Spelman College,GA
Stanford University,CA
Stephens College,MO
Stonehill College,MA
SUNY at Albany,NY
SUNY College of Agriculture and Technology at Cobleskill,NY
SUNY College of Technology at Canton,NY
SUNY Maritime College,NY
Swarthmore College,PA
Syracuse University,NY
Texas Christian University,TX
Texas Southern University,TX
Texas Tech University,TX
The Cooper Union for the Advancement of Science and Art,NY
The University of Alabama,AL
The University of Texas Rio Grande Valley,TX
Truett McConnell University,GA
Tulane University of Louisiana,LA
University of Alabama at Birmingham,AL
University of Alabama in Huntsville,AL
University of Alaska Fairbanks,AK
University of Arkansas,AR
University of Cincinnati-Main Campus,OH
University of Delaware,DE
University of Houston-Clear Lake,TX
University of Houston-Downtown,TX
University of Houston-Victoria,TX
University of Idaho,ID
University of Maryland-College Park,MD
University of Miami,FL
University of Minnesota-Morris,MN
University of Minnesota-Rochester,MN
University of Minnesota-Twin Cities,MN
University of Mississippi,MS
University of Missouri-Columbia,MO
University of Missouri-St Louis,MO
University of North Carolina at Asheville,NC
University of North Carolina at Chapel Hill,NC
University of North Carolina at Charlotte,NC
University of North Carolina at Greensboro,NC
University of North Carolina at Pembroke,NC
University of North Carolina School of the Arts,NC
University of North Carolina Wilmington,NC
University of North Georgia,GA
University of Notre Dame,IN
University of Oklahoma-Norman Campus,OK
University of Pennsylvania,PA
University of Pittsburgh-Bradford,PA
University of Pittsburgh-Greensburg,PA
University of Pittsburgh-Johnstown,PA
University of Pittsburgh-Pittsburgh Campus,PA
University of Portland,OR
University of Rhode Island,RI
University of Richmond,VA
University of San Diego,CA
University of South Carolina-Columbia,SC
University of Southern California,CA
University of Virginia-Main Campus,VA
University of West Georgia,GA
University of Wyoming,WY
Valdosta State University,GA
Valparaiso University,IN
Virginia Military Institute,VA
Virginia Polytechnic Institute and State University,VA
Washington and Lee University,VA
Wellesley College,MA
Western Carolina University,NC
Williams College,MA
Brigham Young University,UT
College of Staten Island CUNY,NY
CUNY Bernard M Baruch College,NY
CUNY Brooklyn College,NY
CUNY City College,NY
CUNY Graduate School and University Center,NY
CUNY Hunter College,NY
CUNY John Jay College of Criminal Justice,NY
CUNY Lehman College,NY
CUNY Medgar Evers College,NY
CUNY New York City College of Technology,NY
CUNY Queens College,NY
CUNY York College,NY
Franklin W Olin College of Engineering,MA
Grinnell College,IA
Johns Hopkins University,MD
Middlebury College,VT
Northeastern University,MA
Oberlin College,OH
Seton Hall University,NJ
Stevens Institute of Technology,NJ
The College of New Jersey,NJ
Trinity University,TX
Tufts University,MA
University of Central Arkansas,AR
University of Connecticut,CT
University of Connecticut-Avery Point,CT
University of Connecticut-Hartford Campus,CT
University of Connecticut-Stamford,CT
University of Connecticut-Waterbury Campus,CT
University of Michigan-Dearborn,MI
University of Vermont,VT
University of Wisconsin - Madison,WI
University of Wisconsin-Eau Claire,WI
University of Wisconsin-Green Bay,WI
University of Wisconsin-La Crosse,WI
University of Wisconsin-Milwaukee,WI
University of Wisconsin-Oshkosh,WI
University of Wisconsin-Parkside,WI
University of Wisconsin-River Falls,WI
University of Wisconsin-Stevens Point,WI
University of Wisconsin-Stout,WI
University of Wisconsin-Superior,WI
University of Wisconsin-Whitewater,WI
Villanova University,PA
Colgate University,NY
Vanderbilt University,TN
Adelphi University,NY
University of Kentucky,KY
Lafayette College,PA
Worcester Polytechnic Institute,MA
