inst,state,city
jersey college - naples,FL,Naples
utah county campus,UT,Orem
l'esprit academy - royal oak,MI,Royal Oak
strayer university-cobb campus,GA,Atlanta
strayer university-morrow campus,GA,Morrow
strayer university-lithonia campus,GA,Lithonia
strayer university-savannah campus,GA,Savannah
strayer university-augusta campus,GA,Augusta
strayer university - macon campus,GA,Macon
strayer university-columbia campus,SC,Columbia
strayer university-charleston campus,SC,North Charleston
strayer university-northwest houston,TX,Houston
strayer university-cedar hill,TX,Cedar Hill
strayer university-north dallas,TX,Farmers Branch
strayer university-san antonio,TX,San Antonio
strayer university - northwest houston campus,TX,Houston
keweenaw bay ojibwa community college - wabanung campus,MI,L'Anse
cinta aveda institute - san jose,CA,San Jose
relay graduate school of education - newark,NJ,Newark
relay graduate school of education - new orleans,LA,New Orleans
relay graduate school of education - delaware,DE,Wilmington
relay graduate school of education - memphis,TN,Memphis
relay graduate school of education - houston,TX,Houston
relay graduate school of education - chicago,IL,Chicago
relay graduate school of education - baton rouge,LA,Baton Rouge
relay graduate school of education - philadelphia & camden,PA,Philadelphia
relay graduate school of education - denver,CO,Denver
relay graduate school of education - nashville,TN,Nashville
relay graduate school of education - san antonio,TX,San Antonio
relay graduate school of education - dallas-fort worth,TX,Dallas
relay graduate school of education - washington d.c,DC,Washington
relay graduate school of education - atlanta,GA,Atlanta
relay graduate school of education - california,CA,San Jose
relay graduate school of education - indiana,IN,Indianapolis
relay graduate school of education - connecticut,CT,New Haven
salon institute - columbus campus,OH,Lewis Center
digital film academy - atlanta,GA,Atlanta
rasmussen university - overland park,KS,Overland Park
rocky vista university - southern utah,UT,Ivins
designer barber & stylist school -,AR,Fort Smith
sharp edgez barber institute - buffalo,NY,Buffalo
chrysm institute of esthetics (the) - hampton,VA,Hampton
lynnes welding training - ramsey,MN,Ramsey
lynnes welding training-bismarck,ND,Bismarck
networks barber college,IL,Chicago
east-west healing arts institute - milwaukee,WI,Shorewood
alliance computing solutions - nyc,NY,New York
bay area medical academy - san jose satellite location,CA,San Jose
high desert medical college - bakerfield,CA,Bakersfield
high desert medical college - temecula,CA,Temecula
university of west los angeles - chatsworth,CA,Chatsworth
georgia military college - zebulon,GA,Zebulon
georgia military college - valdosta,GA,Valdosta
georgia military college - augusta,GA,Martinez
georgia military college - fairburn,GA,Fairburn
georgia military college - robins,GA,Warner Robins
georgia military college - columbus,GA,Columbus
georgia military college - madison,GA,Madison
georgia military college - stone mountain,GA,Stone Mountain
georgia military college - fayetteville,GA,Fayetteville
georgia military college - dublin,GA,Dublin
american college of barbering - florence,KY,Florence
phipps academy of barbering - bradley,IL,Bradley
hci college - fort lauderdale campus,FL,Fort Lauderdale
virginia university of integrative medicine - new jersey,NJ,Ridgefield
virginia university of integrative medicine - georgia,GA,Duluth
mak beauty institute - duluth,GA,Duluth
abc adult school - cabrillo lane,CA,Cerritos
urban barber college - san jose,CA,San Jose
valley college - fairlawn - school of nursing,OH,Fairlawn
western maricopa education center - southwest campus,AZ,Buckeye
western maricopa education center - northeast campus,AZ,Phoenix
burlington county institute of technology - adult education -,NJ,Medford
aaniiih nakoda college,MT,
abilene christian university,TX,
abraham lincoln university,CA,
academy college,MN,
academy of art university,CA,
adams state university,CO,
adventhealth university,FL,
agape college of business and science,CA,
agnes scott college,GA,
alabama a & m university,AL,
alabama state university,AL,
alaska pacific university,AK,
albany college of pharmacy and health sciences,NY,
albertus magnus college,CT,
albion college,MI,
albizu university-miami,FL,
albright college,PA,
alice lloyd college,KY,
allegheny college,PA,
allen university,SC,
alma college,MI,
alpena community college,MI,
alverno college,WI,
amberton university,TX,
america evangelical university,CA,
american baptist college,TN,
american business and technology university,MO,
american intercontinental university,--,
american intercontinental university-atlanta,GA,
american intercontinental university-houston,TX,
american international college,MA,
american islamic college,IL,
american medical academy,FL,
american medical sciences center,CA,
american musical and dramatic academy,NY,
american national university,VA,
american national university-pikeville,KY,
american public university system,--,
american samoa community college,AS,
american university,DC,
amherst college,MA,
amridge university,--,
ana g. mendez university,FL,
anderson university,IN,
anderson university,SC,
andrew college,GA,
andrews university,MI,
angeles college,CA,
angelo state university,TX,
anna maria college,MA,
antelope valley community college district,CA,
antigua college international,FL,
antioch college,OH,
apex school of theology,NC,
appalachian bible college,WV,
aquinas college,MI,
arapahoe community college,CO,
arcadia university,PA,
arizona christian university,AZ,
arizona state university campus immersion,AZ,
arkansas baptist college,AR,
arkansas state university,AR,
arkansas tech university,AR,
arlington baptist university,TX,
art academy of cincinnati,OH,
art center college of design,CA,
asbury university,KY,
ascent college,VA,
ashland university,OH,
aspen university,AZ,
assumption university,MA,
atenas college,PR,
ati college-whittier,CA,
atlantic university college,PR,
atlantis university,FL,
atlantis university-florida palms university,FL,
auburn university,AL,
augsburg university,MN,
augustana college,IL,
augustana university,SD,
aultman college of nursing and health sciences,OH,
aurora university,IL,
austin college,TX,
austin peay state university,TN,
averett university,VA,
averett university-non-traditional programs,VA,
aviator college of aeronautical science and technology,FL,
avila university,MO,
azusa pacific university,CA,
babson college,MA,
baker college,MI,
baker university,KS,
bakersfield college,CA,
baldwin wallace university,OH,
ball state university,IN,
baptist bible college,MO,
baptist missionary association theological seminary,TX,
baptist university of the americas,TX,
barclay college,KS,
bard college,NY,
bard college at simon's rock,MA,
barry university,FL,
barton college,NC,
bates college,ME,
bay mills community college,MI,
bay path university,MA,
bay state college,MA,
beacon college,FL,
beal university,ME,
beckfield college-florence,KY,
beis medrash heichal dovid,NY,
belhaven university,MS,
bellarmine university,KY,
bellevue college,WA,
bellevue university,NE,
bellin college,WI,
bellingham technical college,WA,
belmont abbey college,NC,
belmont university,TN,
beloit college,WI,
bemidji state university,MN,
benedict college,SC,
benedictine college,KS,
benedictine university,IL,
benjamin franklin cummings institute of technology,MA,
bennett college,NC,
bennington college,VT,
berea college,KY,
bergin universiy,CA,
berkeley college-new york,NY,
berkeley college-woodland park,NJ,
berklee college of music,MA,
berry college,GA,
beth medrash govoha,NJ,
bethany college,WV,
bethany college,KS,
bethany global university,MN,
bethany lutheran college,MN,
bethel college-north newton,KS,
bethel university,MN,
bethel university,TN,
bethel university,IN,
bethesda university,CA,
bethune-cookman university,FL,
beulah heights university,GA,
beverly hills design institute,CA,
binghamton university,NY,
biola university,CA,
bismarck state college,ND,
black hills state university,SD,
blackburn college,IL,
bloomfield college,NJ,
bloomsburg university of pennsylvania,PA,
bluefield state university,WV,
bluefield university,VA,
bluffton university,OH,
bob jones university,SC,
boise state university,ID,
boricua college,NY,
boston architectural college,MA,
bowdoin college,ME,
bowie state university,MD,
bowling green state university-firelands,OH,
bradley university,IL,
brandeis university,MA,
brazosport college,TX,
brenau university,GA,
brescia university,KY,
brevard college,NC,
bridgewater college,VA,
bridgewater state university,MA,
broadview college,UT,
brookline college-albuquerque,NM,
brookline college-phoenix,AZ,
brookline college-tempe,AZ,
brookline college-tucson,AZ,
broward college,FL,
bryan college of health sciences,NE,
bryan college-dayton,TN,
bryan university,AZ,
bryan university,MO,
bryant & stratton college-albany,NY,
bryant & stratton college-buffalo,NY,
bryant & stratton college-greece,NY,
bryant & stratton college-parma,OH,
bryant & stratton college-syracuse north,NY,
bryant & stratton college-virginia beach,VA,
bryant & stratton college-wauwatosa,WI,
bryant university,RI,
bryn athyn college of the new church,PA,
bryn mawr college,PA,
buena vista university,IA,
bushnell university,OR,
butler university,IN,
cairn university-langhorne,PA,
caldwell university,NJ,
california aeronautical university,CA,
california baptist university,CA,
california christian college,CA,
california college of the arts,CA,
california institute of arts & technology,CA,
california institute of the arts,CA,
california intercontinental university,--,
california jazz conservatory,CA,
california lutheran university,CA,
california miramar university,CA,
california northstate university,CA,
california polytechnic state university-san luis obispo,CA,
california state polytechnic university-humboldt,CA,
california state polytechnic university-pomona,CA,
california state university maritime academy,CA,
california state university-bakersfield,CA,
california state university-channel islands,CA,
california state university-chico,CA,
california state university-dominguez hills,CA,
california state university-east bay,CA,
california state university-fresno,CA,
california state university-fullerton,CA,
california state university-long beach,CA,
california state university-los angeles,CA,
california state university-monterey bay,CA,
california state university-northridge,CA,
california state university-sacramento,CA,
california state university-san bernardino,CA,
california state university-san marcos,CA,
california state university-stanislaus,CA,
california university of management and sciences,CA,
california university of pennsylvania,PA,
calumet college of saint joseph,IN,
calvin university,MI,
cameron university,OK,
canisius college,NY,
capella university,MN,
capital university,OH,
capitol technology university,MD,
caribbean university-bayamon,PR,
caribbean university-carolina,PR,
caribbean university-ponce,PR,
caribbean university-vega baja,PR,
carlow university,PA,
carolina christian college,NC,
carolina university,NC,
carolinas college of health sciences,NC,
carroll college,MT,
carroll university,WI,
carson-newman university,TN,
carthage college,WI,
cascadia college,WA,
case western reserve university,OH,
castleton university,VT,
catawba college,NC,
cedarville university,OH,
cem college-bayamon,PR,
cem college-humacao,PR,
cem college-mayaguez,PR,
cem college-san juan,PR,
centenary college of louisiana,LA,
centenary university,NJ,
central christian college of kansas,KS,
central college,IA,
central connecticut state university,CT,
central methodist university-college of graduate and extended studies,MO,
central methodist university-college of liberal arts and sciences,MO,
central michigan university,MI,
central ohio technical college,OH,
central penn college,PA,
central state university,OH,
central washington university,WA,
central wyoming college,WY,
central yeshiva tomchei tmimim lubavitz,NY,
centralia college,WA,
centre college,KY,
centura college-chesapeake,VA,
centura college-virginia beach,VA,
century college,MN,
chadron state college,NE,
chamberlain university-arizona,AZ,
chamberlain university-california,CA,
chamberlain university-florida,FL,
chamberlain university-georgia,GA,
chamberlain university-illinois,IL,
chamberlain university-indiana,IN,
chamberlain university-louisiana,LA,
chamberlain university-michigan,MI,
chamberlain university-missouri,MO,
chamberlain university-nevada,NV,
chamberlain university-new jersey,NJ,
chamberlain university-north carolina,NC,
chamberlain university-ohio,OH,
chamberlain university-texas,TX,
chamberlain university-virginia,VA,
chaminade university of honolulu,HI,
champlain college,VT,
chapman university,CA,
charles r drew university of medicine and science,CA,
charleston southern university,SC,
charlotte christian college and theological seminary,NC,
charter college,WA,
charter oak state college,CT,
chatham university,PA,
chestnut hill college,PA,
cheyney university of pennsylvania,PA,
chicago state university,IL,
chipola college,FL,
chowan university,NC,
christian brothers university,TN,
christian life college,IL,
christopher newport university,VA,
cincinnati state technical and community college,OH,
citadel military college of south carolina,SC,
city college-gainesville,FL,
city college-miami,FL,
city university of seattle,WA,
city vision university,--,
clarion university of pennsylvania,PA,
clark college,WA,
clark state college,OH,
clark university,MA,
clarke university,IA,
clarkson college,NE,
clarkson university,NY,
clear creek baptist bible college,KY,
cleary university,MI,
clemson university,SC,
cleveland institute of art,OH,
cleveland institute of music,OH,
cleveland university-kansas city,KS,
clinton college,SC,
coastal carolina university,SC,
coe college,IA,
coker university,SC,
colby college,ME,
colby-sawyer college,NH,
college for creative studies,MI,
college of biblical studies,TX,
college of biblical studies-houston,TX,
college of central florida,FL,
college of menominee nation,WI,
college of micronesia-fsm,FM,
college of mount saint vincent,NY,
college of our lady of the elms,MA,
college of saint benedict,MN,
college of southern idaho,ID,
college of southern nevada,NV,
college of the atlantic,ME,
college of the holy cross,MA,
college of the marshall islands,MH,
collin county community college district,TX,
colorado college,CO,
colorado mesa university,CO,
colorado mountain college,CO,
colorado school of mines,CO,
colorado state university pueblo,CO,
colorado state university-fort collins,CO,
colorado technical university-colorado springs,CO,
columbia basin college,WA,
columbia central university,PR,
columbia central university-yauco,PR,
columbia college,SC,
columbia college,MO,
columbia college chicago,IL,
columbia college hollywood,CA,
columbia international university,SC,
columbia southern university,AL,
columbia university in the city of new york,NY,
columbus college of art and design,OH,
community college of denver,CO,
concord university,WV,
concordia college at moorhead,MN,
concordia university ann arbor,MI,
concordia university texas,TX,
concordia university-chicago,IL,
concordia university-irvine,CA,
concordia university-nebraska,NE,
concordia university-saint paul,MN,
concordia university-wisconsin,WI,
connecticut college,CT,
conservatory of music of puerto rico,PR,
converse university,SC,
coppin state university,MD,
corban university,OR,
cornell college,IA,
cornish college of the arts,WA,
cottey college,MO,
creighton university,NE,
criswell college,TX,
crowley's ridge college,AR,
crown college,MN,
culinary institute of america,NY,
culver-stockton college,MO,
curry college,MA,
curtis institute of music,PA,
cypress college,CA,
d'youville  university,NY,
daemen university,NY,
dakota state university,SD,
dakota wesleyan university,SD,
dallas baptist university,TX,
dallas christian college,TX,
dallas college,TX,
davenport university,MI,
davidson college,NC,
davis & elkins college,WV,
davis college,NY,
daytona college,FL,
daytona state college,FL,
dean college,MA,
defiance college,OH,
delaware state university,DE,
delaware valley university,PA,
delta state university,MS,
denison university,OH,
depaul university,IL,
depauw university,IN,
desales university,PA,
design institute of san diego,CA,
devry college of new york,NY,
devry university-arizona,AZ,
devry university-california,CA,
devry university-florida,FL,
devry university-georgia,GA,
devry university-illinois,IL,
devry university-missouri,MO,
devry university-nevada,NV,
devry university-new jersey,NJ,
devry university-ohio,OH,
devry university-pennsylvania,PA,
devry university-tennessee,TN,
devry university-texas,TX,
devry university-virginia,VA,
dewey university-carolina,PR,
dewey university-hato rey,PR,
dewey university-juana díaz,PR,
dewey university-manati,PR,
dickinson college,PA,
dickinson state university,ND,
digipen institute of technology,WA,
dillard university,LA,
dine college,AZ,
doane university,NE,
dominican university,IL,
dominican university new york,NY,
dominican university of california,CA,
donnelly college,KS,
dordt university,IA,
drake university,IA,
drew university,NJ,
drury university,MO,
drury university-college of continuing professional studies,MO,
dunwoody college of technology,MN,
duquesne university,PA,
eagle gate college-boise campus,ID,
eagle gate college-layton,UT,
eagle gate college-murray,UT,
earlham college,IN,
east central university,OK,
east stroudsburg university of pennsylvania,PA,
east tennessee state university,TN,
east texas baptist university,TX,
east-west university,IL,
eastern connecticut state university,CT,
eastern florida state college,FL,
eastern illinois university,IL,
eastern international college-belleville,NJ,
eastern international college-jersey city,NJ,
eastern kentucky university,KY,
eastern mennonite university,VA,
eastern oregon university,OR,
eastern university,PA,
eastern washington university,WA,
eastwick college-ramsey,NJ,
eckerd college,FL,
ecpi university,VA,
edgewood college,WI,
edinboro university of pennsylvania,PA,
edmonds college,WA,
elim bible institute and college,NY,
elizabethtown college,PA,
elmhurst university,IL,
elmira college,NY,
elon university,NC,
embry-riddle aeronautical university-daytona beach,FL,
embry-riddle aeronautical university-prescott,AZ,
embry-riddle aeronautical university-worldwide,FL,
emerson college,MA,
emmanuel college,MA,
emory & henry college,VA,
empire state university,NY,
emporia state university,KS,
endicott college,MA,
ensign college,UT,
erskine college,SC,
escuela de artes plasticas de puerto rico,PR,
eureka college,IL,
evangel university,MO,
everglades university,FL,
excelsior university,NY,
fairfax university of america,VA,
fairfield university,CT,
fairleigh dickinson university-florham campus,NJ,
fairleigh dickinson university-metropolitan campus,NJ,
fairmont state university,WV,
faith international university,WA,
farmingdale state college,NY,
fashion institute of technology,NY,
feather river community college district,CA,
felbry college,OH,
felician university,NJ,
ferris state university,MI,
ferrum college,VA,
fidm-fashion institute of design & merchandising,CA,
fidm-fashion institute of design & merchandising-san francisco,CA,
fisher college,MA,
fitchburg state university,MA,
five towns college,NY,
flagler college,FL,
florida gateway college,FL,
florida memorial university,FL,
florida national university-main campus,FL,
florida southern college,FL,
florida southwestern state college,FL,
florida state college at jacksonville,FL,
foothill college,CA,
fort hays state university,KS,
fort lewis college,CO,
framingham state university,MA,
francis marion university,SC,
franciscan missionaries of our lady university,LA,
franklin and marshall college,PA,
franklin college,IN,
franklin pierce university,NH,
franklin university,OH,
freed-hardeman university,TN,
fremont university,CA,
fresno pacific university,CA,
friends university,KS,
front range community college,CO,
frostburg state university,MD,
full sail university,FL,
furman university,SC,
galen college of nursing-cincinnati,OH,
galen college of nursing-louisville,KY,
galen college of nursing-san antonio,TX,
galen college of nursing-tampa bay,FL,
galveston college,TX,
gannon university,PA,
gardner-webb university,NC,
gemini school of visual arts & communication,TX,
geneva college,PA,
george fox university,OR,
george mason university,VA,
george washington university,DC,
georgia military college,GA,
georgian court university,NJ,
gettysburg college,PA,
glenville state university,WV,
gnomon,CA,
gods bible school and college,OH,
golden gate university,CA,
goldey-beacom college,DE,
gonzaga university,WA,
goodwin university,CT,
gordon college,MA,
goshen college,IN,
goucher college,MD,
governors state university,IL,
grace christian university,MI,
grace college and theological seminary,IN,
grace mission university,CA,
grace school of theology,TX,
graceland university-lamoni,IA,
grand canyon university,AZ,
grand valley state university,MI,
grand view university,IA,
granite state college,NH,
grantham university,--,
grays harbor college,WA,
grayson college,TX,
great basin college,NV,
great northern university,WA,
green river college,WA,
greensboro college,NC,
greenville technical college,SC,
greenville university,IL,
grove city college,PA,
guam community college,GU,
guilford college,NC,
gulf coast state college,FL,
gurnick academy of medical arts,CA,
gustavus adolphus college,MN,
gwynedd mercy university,PA,
hallmark university,TX,
hamilton college,NY,
hamline university,MN,
hampshire college,MA,
hampton university,VA,
hanover college,IN,
hardin-simmons university,TX,
harding university,AR,
harris-stowe state university,MO,
harrisburg university of science and technology,PA,
hartwick college,NY,
haskell indian nations university,KS,
hastings college,NE,
haven university,CA,
haverford college,PA,
hawaii pacific university,HI,
heidelberg university,OH,
helene fuld college of nursing,NY,
hellenic college-holy cross greek orthodox school of theology,MA,
henderson state university,AR,
hendrix college,AR,
henry ford college,MI,
heritage bible college,NC,
heritage christian university,AL,
heritage university,WA,
herzing university-akron,OH,
herzing university-atlanta,GA,
herzing university-birmingham,AL,
herzing university-brookfield,WI,
herzing university-kenosha,WI,
herzing university-madison,WI,
herzing university-minneapolis,MN,
herzing university-new orleans,LA,
herzing university-orlando,FL,
herzing university-tampa,FL,
hesston college,KS,
high point university,NC,
hilbert college,NY,
hillsdale college,MI,
hiram college,OH,
hobart william smith colleges,NY,
hobe sound bible college,FL,
hofstra university,NY,
hollins university,VA,
holy apostles college and seminary,CT,
holy cross college,IN,
holy family university,PA,
hood college,MD,
hope college,MI,
hope international university,CA,
horizon university,IN,
houghton university,NY,
"houston christian university
",TX,
howard payne university,TX,
huertas college,PR,
hult international business school,MA,
humphreys university-stockton and modesto campuses,CA,
huntingdon college,AL,
huntington university,IN,
huntington university of health sciences,--,
huntsville bible college,AL,
husson university,ME,
huston-tillotson university,TX,
idaho state university,ID,
ilisagvik college,AK,
illinois college,IL,
illinois institute of technology,IL,
illinois state university,IL,
illinois wesleyan university,IL,
immaculata university,PA,
indian bible college,AZ,
indian river state college,FL,
indiana institute of technology,IN,
indiana institute of technology-college of professional studies,IN,
indiana state university,IN,
indiana university-bloomington,IN,
indiana university-east,IN,
indiana university-kokomo,IN,
indiana university-northwest,IN,
indiana university-purdue university-indianapolis,IN,
indiana university-south bend,IN,
indiana university-southeast,IN,
indiana wesleyan university-marion,IN,
indiana wesleyan university-national & global,IN,
institute of american indian and alaska native culture and arts development,NM,
institute of production and recording,MN,
inter american university of puerto rico-aguadilla,PR,
inter american university of puerto rico-arecibo,PR,
inter american university of puerto rico-barranquitas,PR,
inter american university of puerto rico-bayamon,PR,
inter american university of puerto rico-fajardo,PR,
inter american university of puerto rico-guayama,PR,
inter american university of puerto rico-metro,PR,
inter american university of puerto rico-ponce,PR,
inter american university of puerto rico-san german,PR,
international baptist college and seminary,AZ,
"iona university

",NY,
iowa state university,IA,
ithaca college,NY,
jackson college,MI,
jackson state university,MS,
jacksonville state university,AL,
jacksonville university,FL,
james madison university,VA,
jarvis christian university,TX,
john brown university,AR,
john patrick university of health and applied sciences,IN,
john paul the great catholic university,CA,
johnson & wales university-charlotte,NC,
johnson & wales university-providence,RI,
johnson c smith university,NC,
jose maria vargas university,FL,
joyce university of nursing and health sciences,UT,
judson university,IL,
juniata college,PA,
kalamazoo college,MI,
kansas christian college,KS,
kansas city art institute,MO,
kansas state university,KS,
kansas wesleyan university,KS,
kean university,NJ,
keene state college,NH,
kehilath yakov rabbinical seminary,NY,
keiser university-ft lauderdale,FL,
kent state university at ashtabula,OH,
kent state university at east liverpool,OH,
kent state university at geauga,OH,
kent state university at kent,OH,
kent state university at salem,OH,
kent state university at stark,OH,
kent state university at trumbull,OH,
kent state university at tuscarawas,OH,
kentucky state university,KY,
kentucky wesleyan college,KY,
kettering university,MI,
keuka college,NY,
keystone college,PA,
king university,TN,
king's college,PA,
knox college,IL,
la roche university,PA,
la sierra university,CA,
laboure college of healthcare,MA,
lac courte oreilles ojibwe university,WI,
lackawanna college,PA,
lagrange college,GA,
laguna college of art and design,CA,
lake erie college,OH,
lake forest college,IL,
lake superior state university,MI,
lake washington institute of technology,WA,
lake-sumter state college,FL,
lakeland university,WI,
lamar university,TX,
lancaster bible college,PA,
lander university,SC,
landmark college,VT,
lane college,TN,
langston university,OK,
laramie county community college,WY,
laredo college,TX,
lasell university,MA,
latin american bible institute,CA,
laurus college,CA,
lawrence university,WI,
le moyne college,NY,
learnet academy inc,CA,
lebanon valley college,PA,
lees-mcrae college,NC,
lehigh university,PA,
lenoir-rhyne university,NC,
lesley university,MA,
letourneau university,TX,
lewis & clark college,OR,
lewis university,IL,
lewis-clark state college,ID,
liberty university,VA,
life pacific university,CA,
lim college,NY,
limestone university,SC,
lincoln memorial university,TN,
lincoln university,MO,
lincoln university,CA,
lincoln university,PA,
lindenwood university,MO,
lindsey wilson college,KY,
linfield university,OR,
living arts college,NC,
lock haven university,PA,
logan university,MO,
lone star college system,TX,
long island university,NY,
longwood university,VA,
longy school of music of bard college,MA,
lorain county community college,OH,
loras college,IA,
los angeles college of music,CA,
los angeles film school,CA,
louisiana state university and agricultural & mechanical college,LA,
louisiana state university-alexandria,LA,
lourdes university,OH,
lower columbia college,WA,
loyola university chicago,IL,
loyola university maryland,MD,
loyola university new orleans,LA,
lubbock christian university,TX,
luther college,IA,
luther rice college & seminary,GA,
lycoming college,PA,
lynn university,FL,
lyon college,AR,
macalester college,MN,
machzikei hadath rabbinical college,NY,
madonna university,MI,
maharishi international university,IA,
maine college of art & design,ME,
maine maritime academy,ME,
malone university,OH,
manchester university,IN,
manhattan christian college,KS,
manhattan college,NY,
manhattan school of music,NY,
manhattanville college,NY,
manna university,NC,
manor college,PA,
mansfield university of pennsylvania,PA,
maria college of albany,NY,
marian university,WI,
marian university,IN,
marietta college,OH,
marist college,NY,
marquette university,WI,
mars hill university,NC,
marshall university,WV,
martin university,IN,
mary baldwin university,VA,
maryland institute college of art,MD,
marymount manhattan college,NY,
marymount university,VA,
maryville college,TN,
maryville university of saint louis,MO,
marywood university,PA,
massachusetts college of art and design,MA,
mayville state university,ND,
mcdaniel college,MD,
mckendree university,IL,
mcmurry university,TX,
mcneese state university,LA,
mcpherson college,KS,
mcphs university,MA,
menlo college,CA,
mercy college,NY,
mercy college of health sciences,IA,
mercy college of ohio,OH,
mercyhurst university,PA,
meredith college,NC,
merrimack college,MA,
mesivta of eastern parkway-yeshiva zichron meilech,NY,
mesivta torah vodaath rabbinical seminary,NY,
mesivtha tifereth jerusalem of america,NY,
messenger college,TX,
messiah university,PA,
methodist university,NC,
metropolitan college of new york,NY,
metropolitan state university,MN,
metropolitan state university of denver,CO,
miami dade college,FL,
miami regional university,FL,
miami university-hamilton,OH,
miami university-middletown,OH,
michigan state university,MI,
michigan technological university,MI,
mid-america christian university,OK,
mid-atlantic christian university,NC,
midamerica nazarene university,KS,
midland college,TX,
midland university,NE,
midwestern state university,TX,
miles college,AL,
millennia atlantic university,FL,
miller-motte college,--,
miller-motte college-wilmington,NC,
millersville university of pennsylvania,PA,
milligan university,TN,
millikin university,IL,
millsaps college,MS,
milwaukee institute of art & design,WI,
milwaukee school of engineering,WI,
minerva university,CA,
minneapolis college of art and design,MN,
minnesota state university moorhead,MN,
minnesota state university-mankato,MN,
minot state university,ND,
miracosta college,CA,
mirrer yeshiva cent institute,NY,
mississippi college,MS,
mississippi state university,MS,
mississippi university for women,MS,
mississippi valley state university,MS,
missouri baptist university,MO,
missouri southern state university,MO,
missouri state university-springfield,MO,
missouri valley college,MO,
missouri western state university,MO,
mitchell college,CT,
modesto junior college,CA,
monmouth college,IL,
monroe college,NY,
montana state university,MT,
montana state university billings,MT,
montana state university-northern,MT,
montana technological university,MT,
montclair state university,NJ,
montreat college,NC,
montserrat college of art,MA,
moody bible institute,IL,
moore college of art and design,PA,
moravian university,PA,
morehead state university,KY,
morgan state university,MD,
morningside university,IA,
morris brown college,GA,
morris college,SC,
mount aloysius college,PA,
mount angel seminary,OR,
mount carmel college of nursing,OH,
mount holyoke college,MA,
mount marty university,SD,
mount mary university,WI,
mount mercy university,IA,
mount saint joseph university,OH,
mount saint mary college,NY,
mount saint mary's university,CA,
mount st. mary's university,MD,
mount vernon nazarene university,OH,
muhlenberg college,PA,
murray state university,KY,
musicians institute,CA,
muskingum university,OH,
naropa university,CO,
national american university,--,
national american university-ellsworth,SD,
national american university-georgetown,TX,
national louis university,IL,
national paralegal college,--,
national university,CA,
navajo technical university,NM,
nazarene bible college,KY,
nazareth college,NY,
nebraska methodist college of nursing & allied health,NE,
nebraska wesleyan university,NE,
ner israel rabbinical college,MD,
neumann university,PA,
neumont college of computer science,UT,
nevada state college,NV,
new england college,NH,
new england institute of technology,RI,
new hope christian college-eugene,OR,
new jersey city university,NJ,
new mexico highlands university,NM,
new mexico state university-main campus,NM,
new orleans baptist theological seminary,LA,
new york college of health professions,NY,
new york film academy,CA,
new york institute of technology,NY,
new york school of interior design,NY,
newman university,KS,
newschool of architecture and design,CA,
newu university,DC,
niagara university,NY,
nicholls state university,LA,
nichols college,MA,
nightingale college,UT,
north american university,TX,
north central college,IL,
north central state college,OH,
north central university,MN,
north dakota state university-main campus,ND,
north florida college,FL,
north greenville university,SC,
north park university,IL,
north seattle college,WA,
northcentral university,--,
northeastern illinois university,IL,
northeastern state university,OK,
northern arizona university,AZ,
northern illinois university,IL,
northern kentucky university,KY,
northern marianas college,MP,
northern michigan university,MI,
northern new mexico college,NM,
northern state university,SD,
northern vermont university,VT,
northland college,WI,
northpoint bible college,MA,
northwest college,WY,
northwest college of art & design,WA,
northwest florida state college,FL,
northwest indian college,WA,
northwest missouri state university,MO,
northwest nazarene university,ID,
northwest university,WA,
northwest university-center for online and extended education,WA,
northwestern college,IA,
northwestern michigan college,MI,
northwestern oklahoma state university,OK,
northwestern state university of louisiana,LA,
northwood university,MI,
norwich university,VT,
nossi college of art,TN,
notre dame of maryland university,MD,
nuc university,PR,
nuc university - florida technical college,FL,
nueta hidatsa sahnish college,ND,
oak hills christian college,MN,
oak valley college,CA,
oakland city university,IN,
oakwood university,AL,
occidental college,CA,
odessa college,TX,
oglala lakota college,SD,
oglethorpe university,GA,
ohio christian university,OH,
ohio dominican university,OH,
ohio northern university,OH,
ohio state university-lima campus,OH,
ohio state university-mansfield campus,OH,
ohio state university-marion campus,OH,
ohio state university-newark campus,OH,
ohio university-chillicothe campus,OH,
ohio university-eastern campus,OH,
ohio university-lancaster campus,OH,
ohio university-main campus,OH,
ohio university-southern campus,OH,
ohio university-zanesville campus,OH,
ohio wesleyan university,OH,
oklahoma baptist university,OK,
oklahoma christian university,OK,
oklahoma city university,OK,
oklahoma panhandle state university,OK,
oklahoma state university institute of technology,OK,
oklahoma state university-main campus,OK,
oklahoma state university-oklahoma city,OK,
oklahoma wesleyan university,OK,
old dominion university,VA,
olivet college,MI,
olivet nazarene university,IL,
olympic college,WA,
oregon health & science university,OR,
oregon institute of technology,OR,
oregon state university,OR,
oregon state university-cascades campus,OR,
orion technical college,IA,
otis college of art and design,CA,
ottawa university-ottawa,KS,
ottawa university-surprise,AZ,
otterbein university,OH,
ouachita baptist university,AR,
our lady of the lake university,TX,
ozark christian college,MO,
pace university,NY,
pacific bible college,OR,
pacific college,CA,
pacific college of health and science,NY,
pacific college of health and science,IL,
pacific college of health and science,CA,
pacific islands university,GU,
pacific lutheran university,WA,
pacific oaks college,CA,
pacific rim christian university,HI,
pacific states university,CA,
pacific union college,CA,
pacific university,OR,
paier college,CT,
paine college,GA,
palm beach atlantic university,FL,
palm beach state college,FL,
park university,MO,
